keys,en,de,fr
REFILLED,Refilled,aufgefüllt,rempli
ENTERED,Entered,eingestiegen,entré
DEPLOYED,Deployed,abgesetzt,abandonné
JOINED,Joined,fusioniert,fusionné
,,,
TUTORIAL,Tutorial,Tutorial,Didacticiel
CAMPAIGN,Campaign,Kampagne,campagne
VS_AI,VS AI,VS KI,contre IA
VS_PLAYER,VS Player,VS Spieler,contre joueur
START,Start,Start,commencer
BACK,Back,Zurück,revenir
REFRESH,Refresh,Aktualisieren,actualiser
MP_JOIN,Join,Beitreten,rejoindre
MP_KICK,Kick,Rauswerfen,virer
HOST,Host,Erstellen,hôte
SINGLEPLAYER,Singleplayer,Einzelspieler,joueur unique
HOT_SEAT,Hot Seat,Hot Seat,hot seat
RANKED,Ranked,Rangliste,palmarès
LOBBY,Lobby,Lobby,lobby
SETTINGS,Settings,Einstellungen,réglages
CREDITS,Credits,Credits,crédits
EXIT,Exit,Exit,Sortir
CLOSE,Close,Schliessen,proche
GRAPHICS,Graphics,Grafik,graphiques
ANTI_ALIASING,AntiAliasing,Kantenglättung,anti crénelage
SHADOWS,Shadows,Schatten,ombre
AUDIO,Audio,Audio,audio
MUSIC,Music,Musik,musique
SOUND,Sound,Ton,son
MAP_SELECTION,Map Selection,Map-Auswahl,sélection de la carte
USERNAME,Username,Benutzername,Nom d'utilisateur
MENU,Menu,Menü,menu
EXIT_TO_MENU,Exit to Menu,Beenden,quitter au menu
CONTINUE,Continue,Weiter,continuer
MAP_EDITOR,Map Editor,,
RESIZE,Resize,,
SAVE,Save,Speichern,
LOAD,Load,Laden,
ACCEPT,Accept,,
CANCEL,Cancel,,
TERRAIN,Terrain,,
UNIT,Unit,,
TERRAINS,Terrains,,
UNITS,Units,,
TILES,Tiles,,
MAP_SETTINGS,Map Settings,,
PLAYER_SETTINGS,Player Settings,,
TERRAIN_SETTINGS,Terrain Settings,,
UNIT_SETTINGS,Unit Settings,,
NAME,Name,,
AUTHOR,Author,,
VERSION,Version,,
PLAYERS,Players,,
PLAYER,Player,Spieler,joueur
OWNER,Owner,,
TURN,Turn,Runde,tour
WON,Won,Gewinnt,gagne
SELECTED,Selected,,
HEALTH,Health,,
FUEL,Fuel,,
AMMO,Ammo,,
NEUTRAL,Neutral,,
,,,
LOW,Low,Niedrig,bas
MEDIUM,Medium,Mittel,moyen
HIGH,High,Hoch,haute
ULTRA,Ultra,Ultra,ultra
,,,
MAIN_MENU,Main,Hauptmenü,menu principal
SINGLEPLAYER_MENU,Singleplayer,Einzelspieler,joueur unique
MULTIPLAYER_MENU,Multiplayer,Mehrspieler,multijoueur
SETTING_MENU,Settings,Einstellungen,paramètres
LOGIN_MENU,Login,Anmeldung,connexion
LOBBY_MENU,Lobby,Lobby,lobby
,,,
MOVE,Move,Bewegen,déplacer
ATTACK,Attack,Angreifen,attaque
ENTER,Enter,Einsteigen,entrer
DEPLOY,Deploy,Absetzten,sevré
JOIN,Join,Fusionieren,fusionner
SUPPLY,Supply,Auffüllen,remplir
CAPTURE,Capture,Einnehmen,prendre
BUY,Buy,Kaufen,acheter
SELECT,Select,Auswählen,sélectionner
NEXT_ROUND,Next Round,Nächste Runde,tour suivant
,,,
MESSAGE_TITLE_PLAYER_LEFT,Player left,Spieler verlassen,quitter le joueur
MESSAGE_TEXT_PLAYER_LEFT,Your opponent left the game. You will be brought back to the menu.,Dein Gegner hat das Spiel verlassen. Du wirst zum Menü zurückgebracht.,Votre adversaire a quitté la partie. Vous serez ramené au menu.
MESSAGE_TITLE_LOBBY_CONNECTION_PROBLEM,Connection Problem,Verbindungsproblem,Problème de connection
MESSAGE_TEXT_LOBBY_CONNECTION_PROBLEM,Cannot connect to the lobby server.,Es kann keine Verbindung zum Lobby-Server hergestellt werden.,Impossible de se connecter au serveur du lobby.
MESSAGE_TITLE_MAP_EDITOR_SAVE_NO_NAME,Missing Map Name,,
MESSAGE_TEXT_MAP_EDITOR_SAVE_NO_NAME,Please provide a map name.,,
,,,
ANTI_AIR,Anti-Air,,
ANTI_AIR_DESCRIPTION,"Anti-Airs are strong at fighting Air units, but are also strong at combating foot soldiers and light vehicles.",,
,,,
APC,APC,,
APC_DESCRIPTION,"Defenseless on their own, Armored Personnel Carriers (APCs) instead support an army by transporting Foot Soldiers and refilling Fuel and Ammo stocks of adjacent units.",,
,,,
ARTILLERY,Artillery,,
ARTILLERY_DESCRIPTION,Artillery are low-cost indirect vehicles. They serve as the primary defensive unit projecting power across front-lines.,,
,,,
BAZOOKA,Mech,,
BAZOOKA_DESCRIPTION,"Stronger, slower, and more expensive than Infantry, Mechanized Infantry (more commonly referred to as Mechs) trade versatility for much greater cost-efficiency against a variety of targets.",,
